instance,folder,approach,time_budget,workers,runtime_sec,makespan,valid,status,error
PSP1.SCH,sm_j10,topo_seq,5.0,1,0.0083,46,True,OK,
PSP2.SCH,sm_j10,topo_seq,5.0,1,0.0,71,True,OK,
PSP3.SCH,sm_j10,topo_seq,5.0,1,0.0,55,True,OK,
PSP1.SCH,sm_j10,lft_ssgs,5.0,1,0.0,25,True,OK,
PSP2.SCH,sm_j10,lft_ssgs,5.0,1,0.0,51,True,OK,
PSP3.SCH,sm_j10,lft_ssgs,5.0,1,0.0,32,True,OK,
PSP1.SCH,sm_j10,ga,5.0,1,0.0654,25,True,OK,
PSP2.SCH,sm_j10,ga,5.0,1,0.1075,45,True,OK,
PSP3.SCH,sm_j10,ga,5.0,1,0.0691,29,True,OK,
