folder,run_id,approach,approach_name,workers,instances,valid_count,invalid_count,infeasible_count,error_count,avg_runtime_sec,avg_makespan_valid
sm_j10,ga_run1_w1,ga,Genetic Algorithm + SSGS Decoder,1,270,253,17,17,0,0.2971,36.6047
sm_j10,ga_run2_w2,ga,Genetic Algorithm + SSGS Decoder,2,270,253,17,17,0,0.6142,36.6008
sm_j10,ga_run3_w4,ga,Genetic Algorithm + SSGS Decoder,4,270,253,17,17,0,0.813,36.6008
sm_j10,ga_run4_w8,ga,Genetic Algorithm + SSGS Decoder,8,270,253,17,17,0,1.1925,36.6008
sm_j10,ga_run1_w12,ga,Genetic Algorithm + SSGS Decoder,12,270,253,17,17,0,2.0172,36.6008
sm_j10,id_ssgs_run1_w1,id_ssgs,Serial Schedule Generation Scheme (Priority by Activity ID),1,270,253,17,17,0,0.0003,40.7233
sm_j10,lft_ssgs_run1_w1,lft_ssgs,Serial Schedule Generation Scheme (Latest Finish Time priority),1,270,253,17,17,0,0.0004,40.1621
sm_j10,topo_seq_run1_w1,topo_seq,Topological Sequential Baseline (precedence-only),1,270,253,17,17,0,0.003,55.2134
sm_j10,alns_run1_w1,alns,Adaptive Large Neighborhood Search + SSGS Decoder,1,270,253,17,17,0,26.244,36.6008
sm_j10,alns_run1_w2,alns,Adaptive Large Neighborhood Search + SSGS Decoder,2,270,253,17,17,0,26.8215,36.6008
sm_j10,alns_run1_w4,alns,Adaptive Large Neighborhood Search + SSGS Decoder,4,270,253,17,17,0,27.063,36.6008
sm_j10,alns_run1_w8,alns,Adaptive Large Neighborhood Search + SSGS Decoder,8,270,253,17,17,0,27.0574,36.6008
sm_j10,alns_run1_w12,alns,Adaptive Large Neighborhood Search + SSGS Decoder,12,270,253,17,17,0,29.9516,36.6008
sm_j20,ga_run1_w1,ga,Genetic Algorithm + SSGS Decoder,1,270,266,4,4,0,1.2093,58.7143
sm_j20,ga_run2_w2,ga,Genetic Algorithm + SSGS Decoder,2,270,266,4,4,0,1.6731,58.3609
sm_j20,ga_run3_w4,ga,Genetic Algorithm + SSGS Decoder,4,270,266,4,4,0,2.2823,58.1203
sm_j20,ga_run4_w8,ga,Genetic Algorithm + SSGS Decoder,8,270,266,4,4,0,3.6646,57.8947
sm_j20,ga_run1_w12,ga,Genetic Algorithm + SSGS Decoder,12,270,266,4,4,0,8.4636,57.8947
sm_j20,id_ssgs_run1_w1,id_ssgs,Serial Schedule Generation Scheme (Priority by Activity ID),1,270,266,4,4,0,0.0007,69.8383
sm_j20,lft_ssgs_run1_w1,lft_ssgs,Serial Schedule Generation Scheme (Latest Finish Time priority),1,270,266,4,4,0,0.0008,68.3759
sm_j20,topo_seq_run1_w1,topo_seq,Topological Sequential Baseline (precedence-only),1,270,266,4,4,0,0.0027,110.5902
sm_j20,alns_run1_w1,alns,Adaptive Large Neighborhood Search + SSGS Decoder,1,270,266,4,4,0,27.6964,57.609
sm_j20,alns_run1_w2,alns,Adaptive Large Neighborhood Search + SSGS Decoder,2,270,266,4,4,0,28.5182,57.5526
sm_j20,alns_run1_w4,alns,Adaptive Large Neighborhood Search + SSGS Decoder,4,270,266,4,4,0,28.3979,57.4925
sm_j20,alns_run1_w8,alns,Adaptive Large Neighborhood Search + SSGS Decoder,8,270,266,4,4,0,28.4112,57.4812
sm_j20,alns_run1_w12,alns,Adaptive Large Neighborhood Search + SSGS Decoder,12,270,266,4,4,0,31.0687,57.4662
